movie_tip,movie_grade,movie_desc,movie_name,comment_num
希望让人自由。,9.6,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins/...,肖申克的救赎/TheShawshankRedemption/月黑高飞(港)/刺激1995(台),1076288
风华绝代。,9.5,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung/张丰毅FengyiZha...,霸王别姬/再见，我的妾/FarewellMyConcubine,785071
怪蜀黍和小萝莉不得不说的故事。,9.4,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno/娜塔莉·波特曼...,这个杀手不太冷/Léon/杀手莱昂/终极追杀令(台),1001927
一部美国近现代史。,9.4,导演:RobertZemeckis主演:TomHanks/RobinWrightPenn/GarySinise,阿甘正传/ForrestGump/福雷斯特·冈普,853620
最美的谎言。,9.5,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...,美丽人生/Lavitaèbella/一个快乐的传说(港)/LifeIsBeautiful,498799
失去的才是永恒的。,9.3,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...,泰坦尼克号/Titanic/铁达尼号(港/台),793217
最好的宫崎骏，最好的久石让。,9.3,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi/入野自由Miy...,千与千寻/千と千尋の神隠し/神隐少女(台)/SpiritedAway,797919
拯救一个人，就是拯救整个世界。,9.4,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...,辛德勒的名单/Schindler'sList/舒特拉的名单(港)/辛德勒名单,452625
诺兰给了我们一场无法盗取的梦。,9.3,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...,盗梦空间/Inception/潜行凶间(港)/全面启动(台),886678
小瓦力，大人生。,9.3,导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt/艾丽...,机器人总动员/WALL·E/瓦力(台)/太空奇兵·威E(港),582337
英俊版憨豆，高情商版谢耳朵。,9.2,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan/卡...,三傻大闹宝莱坞/3Idiots/三个傻瓜(台)/作死不离3兄弟(港),798623
每个人都要走一条自己坚定了的路，就算是粉身碎骨。,9.2,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth/...,海上钢琴师/Laleggendadelpianistasull'oceano/声光伴我飞(港)/一九零零的传奇,678492
永远都不能忘记你所爱的人。,9.2,导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...,忠犬八公的故事/Hachi:ADog'sTale/忠犬小八(台)/秋田犬八千(港),557422
天籁一般的童声，是最接近上帝的存在。,9.2,导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:杰拉尔·朱诺Géra...,放牛班的春天/Leschoristes/歌声伴我心(港)/唱诗班男孩,536691
一生所爱。,9.2,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...,大话西游之大圣娶亲/西遊記大結局之仙履奇緣/西游记完结篇仙履奇缘/齐天大圣西游记,588726
如果再也不能见到你，祝你早安，午安，晚安。,9.1,导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,楚门的世界/TheTrumanShow/真人Show(港)/真人戏,563138
人人心中都有个龙猫，童年就永远不会消失。,9.1,导演:宫崎骏HayaoMiyazaki主演:日高法子NorikoHidaka/坂本千夏Ch...,龙猫/となりのトトロ/邻居托托罗/邻家的豆豆龙,494565
千万不要记恨你的对手，这样会让你失去理智。,9.2,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:马龙·白兰度M...,教父/TheGodfather/MarioPuzo'sTheGodfather,400849
爱是一种力量，让我们超越时空感知它的存在。,9.2,导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...,星际穿越/Interstellar/星际启示录(港)/星际效应(台),589001
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2,导演:黄东赫Dong-hyukHwang主演:孔侑YooGong/郑有美Yu-miJeong...,熔炉/도가니/无声呐喊(港)/漩涡,326873
满满温情的高雅喜剧。,9.2,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano主...,触不可及/Intouchables/闪亮人生(港)/逆转人生(台),434003
Tomorrow is another day.,9.2,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor主演:费...,乱世佳人/GonewiththeWind/飘,309971
香港电影史上永不过时的杰作。,9.1,导演:刘伟强/麦兆辉主演:刘德华/梁朝伟/黄秋生,无间道/無間道/InfernalAffairs/Mougaandou,480149
平民励志片。,8.9,导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...,当幸福来敲门/ThePursuitofHappyness/寻找快乐的故事(港)/追求快乐,633621
真正的幸福是来自内心深处。,8.9,导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll/卡...,怦然心动/Flipped/萌动青春/青春萌动,669675
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:安东娜拉·塔莉Antonel...,天堂电影院/NuovoCinemaParadiso/星光伴我心(港)/新天堂乐园(台),347553
1957年的理想主义。,9.4,导演:SidneyLumet主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,十二怒汉/12AngryMen/12怒汉/十二怒汉,198619
对敌人的仁慈，就是对自己残忍。,9.2,导演:姜文WenJiang主演:姜文WenJiang/香川照之TeruyukiKagawa/...,鬼子来了/DevilsontheDoorstep,274465
